Wok 4 Hunger,Punjabi Bagh,+91 8766299673,600,"22,CSC Market, Club Road, Punjabi Bagh Extension, New Delhi",West Delhi,"Takeaway, Delivery","wok 4 hunger new delhi menu, wok 4 hunger new delhi, wok 4 hunger menu, wok 4 hunger restaurant, wok 4 hunger punjabi bagh menu",6,Claim this listing,Not Available,"Home Delivery, Seating Not Available"
Vishnu's Amritsari Food,Indirapuram,+91 8076621990,500,"Shop 79 g Nyay Khand 2, Indirapuram, Ghaziabad",Ghaziabad,Quick Bites,"1, vishnu amritsari food vaishali, vishnu dhaba vaishali, vishnu amritsari, vishnu amritsari vaishali",53,Claim this listing,Not Available,"Home Delivery, Vegetarian Only, Table booking not available, No Alcohol Available"
OH HI YO Bakers,Greater Kailash 3 (GK3),011 29220016,300,"E-3, DDA Market, Masjid Moth, Greater Kailash 3 (GK3), New Delhi",South Delhi,"Bakery, Dessert Parlor","oh hi yo bakers new delhi, oh hi yo bakers greater kailash 3 (gk3) menu, oh hi yo bakers new delhi menu, oh hi yo bakers menu, oh hi yo bakers restaurant",6,Claim this listing,Not Available,"Home Delivery, Desserts and Bakes"
Lajawab Kathi Rolls,DLF Phase 1,+91 9873998235,400,"H-36/25, H Block, DLF Phase 1, Gurgaon",Gurgaon (Gurugram),Delivery,"lajawab kathi rolls menu, lajawab kathi rolls gurgaon, lajawab kathi rolls dlf phase 1 menu, lajawab kathi rolls gurgaon menu, lajawab kathi rolls restaurant",1,Claimed listing ,Not Available,"Delivery Only, Seating Not Available, No Alcohol Available"
Sopan,Malviya Nagar,+91 9650716132,300,"Shop 1, Kashmiri Market, Malviya Nagar, New Delhi",South Delhi,Takeaway,"sopan new delhi delhi, 1, sopan name logo, sopan malviya nagar, sopan",17,Claim this listing,Not Available,"Takeaway Only, Seating Not Available, No Alcohol Available"
Wixxy Foods,"Sector 16, Noida",+91 7838735735,500,"FC 23, Next to News 24, Sector 16, Noida",Noida,Casual Dining,"wixxy food noida sector 16, foods photos, wixxy foods, lunch dish noida sec16 film city, wixxy food",0,Claim this listing,"Spring Roll, Pasta, Masala Tea","Breakfast, Home Delivery"
Kwality Pastry Parlour,Shalimar Bagh,011 27475940,200,"3, AL Market, Shalimar Bagh, New Delhi",North Delhi,Bakery,"kwality pastry parlour new delhi delhi, 1, kwality shalimar bagh, kwality bakers shalimar bagh, kwality bakers al market shalimar bagh",0,Claimed listing ,"Pasta Sandwich, Truffle","Takeaway Only, Seating Not Available, Vegetarian Only, No Alcohol Available, Desserts and Bakes"
Punjabi Tikka,Paharganj,+91 7838481192,700,"1476 Sangatrashan Bazar, Near Nirmal Mahal Hotel, Paharganj, New Delhi",Central Delhi,Quick Bites,"punjabi tikka restaurant, punjabi tikka paharganj menu, punjabi tikka new delhi, punjabi tikka new delhi menu, punjabi tikka menu",0,Claimed listing ,Not Available,Home Delivery
Brunchilli 2.0,Janakpuri,+91 9990495238,800,"C-4B/295 A, Janakpuri, New Delhi",West Delhi,Quick Bites,"brunchilli, 1, brunchilli janakpuri, brunchilli menu, brunchili janakpuri",0,Claimed listing ,"Dal Makhani, Chilli Chicken, Chicken Tandoori Momos, Pasta Alfredo, Noodles, Afghani Momos, Ice Tea","Home Delivery, Wifi"
Joker On Wheels,Greater Kailash 2 (GK2),011 33105791,850,"Greater Kailash 2 (GK2), New Delhi",South Delhi,Delivery,"joker on wheels new delhi, joker on wheels new delhi menu, joker on wheels greater kailash 2 (gk2) menu, delhi joker, joker on wheels menu",0,Claimed listing ,"Dal Makhani, Peri Peri Chicken Pizza, Panneer Butter Masala, Rajma Masala, Pasta, Brownie Fudge, Vada Pav","Delivery Only, Seating Not Available, No Alcohol Available"
Baskin Robbins,Pitampura,011 45042666,300,"G 64, Aggarwal City Mall, Pitampura, New Delhi",North Delhi,Dessert Parlor,"baskin robbins rani bagh, city park hotel pitam pura, baskin robbins delhi pitampura, baskin robbjns menu nsp, baskin robbins pitampura",0,Claimed listing ,Not Available,"Home Delivery, Seating Not Available, Vegetarian Only, No Alcohol Available, Desserts and Bakes"
